city,zone,vehicle_type,platform,season,month,avg_daily_orders,avg_daily_hours,effective_heat_days,effective_rain_days,effective_aqi_days,zone_flood_risk,zone_risk_score
Mumbai,Chembur,Two-Wheeler ICE,Zomato,Pre-monsoon,5,13,12,0.0,2.4,0.4,1.45,1.15
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Monsoon,9,40,7,1.4,0.9,10.0,1.05,1.22
Delhi,Lajpat Nagar,Two-Wheeler EV,Swiggy,Post-monsoon,10,16,9,1.4,0.6,35.0,1.1,1.31
Delhi,Saket,Two-Wheeler ICE,Zomato,Post-monsoon,10,39,11,1.4,0.6,35.0,1.05,1.37
Hyderabad,Banjara Hills,Two-Wheeler ICE,Swiggy,Winter,1,35,12,0.17,0.05,1.35,1.05,1.02
Mumbai,Dharavi,Two-Wheeler ICE,Swiggy,Post-monsoon,10,35,13,0.0,4.8,1.4,1.35,1.29
Hyderabad,Banjara Hills,Two-Wheeler ICE,Swiggy,Post-monsoon,10,22,13,0.17,0.4,1.05,1.05,0.94
Bengaluru,Indiranagar,Two-Wheeler EV,Zomato,Winter,1,41,6,0.0,0.03,2.7,1.1,1.02
Bengaluru,Koramangala,Two-Wheeler EV,Zomato,Monsoon,7,11,8,0.0,0.54,0.3,1.2,0.99
Delhi,Lajpat Nagar,Two-Wheeler ICE,Zomato,Post-monsoon,10,21,13,1.4,0.6,35.0,1.1,1.34
Chennai,Sholinganallur,Two-Wheeler ICE,Swiggy,Monsoon,9,13,10,0.2,2.4,0.8,1.35,1.17
Bengaluru,Sarjapur Road,Two-Wheeler EV,Zomato,Pre-monsoon,4,44,8,0.0,0.06,0.6,1.45,1.14
Mumbai,Kurla,Two-Wheeler ICE,Zomato,Pre-monsoon,5,29,9,0.0,2.4,0.4,1.35,1.15
Bengaluru,Whitefield,Two-Wheeler ICE,Both,Monsoon,8,44,11,0.0,0.54,0.3,1.4,1.22
Bengaluru,Sarjapur Road,Two-Wheeler ICE,Swiggy,Winter,1,28,7,0.0,0.03,2.7,1.45,1.18
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Post-monsoon,10,23,7,0.0,4.8,1.4,1.45,1.29
Mumbai,Andheri,Two-Wheeler ICE,Swiggy,Monsoon,9,42,9,0.0,7.2,0.4,1.3,1.41
Bengaluru,Indiranagar,Two-Wheeler ICE,Both,Winter,1,39,7,0.0,0.03,2.7,1.1,1.05
Bengaluru,Mahadevapura,Two-Wheeler ICE,Zomato,Pre-monsoon,5,17,7,0.0,0.12,0.6,1.5,1.15
Delhi,Lajpat Nagar,Two-Wheeler ICE,Zomato,Monsoon,7,30,11,2.8,1.35,5.0,1.1,1.19
Bengaluru,Sarjapur Road,Two-Wheeler ICE,Swiggy,Winter,1,43,12,0.0,0.03,2.7,1.45,1.23
Delhi,Connaught Place,Two-Wheeler EV,Zomato,Post-monsoon,11,12,12,1.4,0.375,45.0,1.05,1.23
Mumbai,Parel,Two-Wheeler ICE,Zomato,Winter,12,37,9,0.0,0.6,1.8,1.3,1.16
Bengaluru,Koramangala,Bicycle,Zomato,Post-monsoon,10,15,10,0.0,0.24,2.1,1.2,0.96
Hyderabad,Madhapur,Two-Wheeler EV,Both,Pre-monsoon,4,31,8,0.85,0.1,0.3,1.3,1.09
Bengaluru,Mahadevapura,Two-Wheeler ICE,Both,Winter,1,23,8,0.0,0.03,2.7,1.5,1.2
Hyderabad,HITEC City,Two-Wheeler ICE,Zomato,Pre-monsoon,3,15,6,0.51,0.05,0.6,1.25,1.04
Mumbai,Andheri,Two-Wheeler EV,Swiggy,Winter,12,14,12,0.0,0.6,1.8,1.3,1.03
Chennai,Pallikaranai,Two-Wheeler EV,Zomato,Post-monsoon,10,18,6,0.2,1.6,2.8,1.45,1.17
Chennai,Perungudi,Two-Wheeler ICE,Both,Winter,12,42,13,0.2,0.2,3.6,1.38,1.22
Bengaluru,Mahadevapura,Two-Wheeler ICE,Both,Pre-monsoon,5,22,11,0.0,0.12,0.6,1.5,1.15
Delhi,Azad Market,Two-Wheeler ICE,Both,Post-monsoon,10,23,12,1.4,0.6,35.0,1.35,1.47
Mumbai,Andheri,Two-Wheeler ICE,Zomato,Monsoon,6,30,11,0.0,7.2,0.2,1.3,1.35
Mumbai,Dharavi,Two-Wheeler ICE,Swiggy,Pre-monsoon,5,42,13,0.0,2.4,0.4,1.35,1.2
Mumbai,Wadala,Two-Wheeler ICE,Swiggy,Monsoon,7,10,6,0.0,10.8,0.2,1.25,1.38
Delhi,Connaught Place,Two-Wheeler EV,Zomato,Monsoon,7,22,10,2.8,1.35,5.0,1.05,1.13
Chennai,Velachery,Two-Wheeler ICE,Zomato,Post-monsoon,11,14,6,0.2,1.0,3.6,1.4,1.11
Chennai,Adyar,Two-Wheeler ICE,Zomato,Monsoon,8,21,10,0.2,3.6,0.4,1.4,1.29
Hyderabad,Banjara Hills,Two-Wheeler ICE,Zomato,Monsoon,8,40,6,0.17,0.9,0.15,1.05,1.06
Delhi,Lajpat Nagar,Two-Wheeler EV,Swiggy,Pre-monsoon,4,42,6,7.0,0.15,10.0,1.1,1.29
Chennai,Velachery,Two-Wheeler ICE,Zomato,Post-monsoon,11,26,11,0.2,1.0,3.6,1.4,1.16
Delhi,ITO,Two-Wheeler EV,Zomato,Pre-monsoon,5,33,9,12.6,0.3,10.0,1.4,1.5
Delhi,ITO,Two-Wheeler ICE,Swiggy,Monsoon,8,29,7,1.4,1.35,5.0,1.4,1.3
Bengaluru,Mahadevapura,Two-Wheeler ICE,Both,Pre-monsoon,5,14,9,0.0,0.12,0.6,1.5,1.1
Chennai,Velachery,Two-Wheeler ICE,Swiggy,Post-monsoon,10,16,12,0.2,1.6,2.8,1.4,1.17
Chennai,Anna Nagar,Two-Wheeler ICE,Swiggy,Winter,1,15,9,0.2,0.2,3.6,1.05,1.0
Bengaluru,Indiranagar,Two-Wheeler ICE,Zomato,Post-monsoon,10,44,8,0.0,0.24,2.1,1.1,1.01
Mumbai,Dharavi,Two-Wheeler ICE,Swiggy,Monsoon,8,29,10,0.0,10.8,0.2,1.35,1.48
Bengaluru,Sarjapur Road,Two-Wheeler ICE,Swiggy,Monsoon,8,39,7,0.0,0.54,0.3,1.45,1.25
Delhi,Saket,Two-Wheeler ICE,Both,Monsoon,8,20,8,1.4,1.35,5.0,1.05,1.12
Mumbai,Bandra,Two-Wheeler ICE,Zomato,Monsoon,8,29,6,0.0,10.8,0.2,1.1,1.35
Delhi,Connaught Place,Two-Wheeler ICE,Both,Post-monsoon,11,28,13,1.4,0.375,45.0,1.05,1.31
Mumbai,Bandra,Two-Wheeler ICE,Both,Winter,2,15,13,0.0,0.6,1.6,1.1,1.01
Delhi,ITO,Two-Wheeler EV,Swiggy,Post-monsoon,11,34,7,1.4,0.375,45.0,1.4,1.5
Bengaluru,Whitefield,Two-Wheeler ICE,Both,Winter,2,20,13,0.0,0.03,2.4,1.4,1.15
Mumbai,Andheri,Two-Wheeler ICE,Swiggy,Winter,2,13,11,0.0,0.6,1.6,1.3,1.06
Mumbai,Dharavi,Two-Wheeler EV,Both,Pre-monsoon,4,29,10,0.0,1.2,0.4,1.35,1.08
Delhi,ITO,Two-Wheeler EV,Swiggy,Post-monsoon,11,10,11,1.4,0.375,45.0,1.4,1.41
Mumbai,Dharavi,Bicycle,Swiggy,Pre-monsoon,3,37,11,0.0,0.6,0.8,1.35,1.1
Mumbai,Kurla,Two-Wheeler EV,Zomato,Pre-monsoon,5,24,10,0.0,2.4,0.4,1.35,1.12
Delhi,ITO,Bicycle,Zomato,Pre-monsoon,5,37,8,12.6,0.3,10.0,1.4,1.5
Delhi,Azad Market,Bicycle,Swiggy,Winter,1,12,11,1.4,0.075,45.0,1.35,1.39
Hyderabad,HITEC City,Two-Wheeler ICE,Swiggy,Winter,1,32,10,0.17,0.05,1.35,1.25,1.12
Mumbai,Andheri,Two-Wheeler ICE,Zomato,Monsoon,9,27,7,0.0,7.2,0.4,1.3,1.36
Mumbai,Wadala,Two-Wheeler ICE,Swiggy,Pre-monsoon,4,10,9,0.0,1.2,0.4,1.25,1.01
Delhi,Lajpat Nagar,Two-Wheeler ICE,Swiggy,Pre-monsoon,4,38,12,7.0,0.15,10.0,1.1,1.32
Chennai,Velachery,Bicycle,Swiggy,Pre-monsoon,5,39,6,1.8,0.8,0.8,1.4,1.18
Delhi,Azad Market,Two-Wheeler ICE,Swiggy,Winter,1,42,11,1.4,0.075,45.0,1.35,1.5
Delhi,Connaught Place,Two-Wheeler ICE,Zomato,Pre-monsoon,5,42,12,12.6,0.3,10.0,1.05,1.39
Delhi,Saket,Two-Wheeler ICE,Swiggy,Monsoon,6,30,10,12.6,0.9,5.0,1.05,1.36
Hyderabad,Begumpet,Two-Wheeler ICE,Swiggy,Monsoon,9,40,8,0.17,0.6,0.3,1.2,1.13
Mumbai,Andheri,Bicycle,Swiggy,Pre-monsoon,3,29,6,0.0,0.6,0.8,1.3,1.02
Bengaluru,Sarjapur Road,Bicycle,Zomato,Monsoon,9,22,6,0.0,0.36,0.6,1.45,1.14
Chennai,Adyar,Two-Wheeler EV,Swiggy,Monsoon,6,34,9,1.8,2.4,0.4,1.4,1.31
Delhi,Saket,Two-Wheeler EV,Zomato,Pre-monsoon,5,42,7,12.6,0.3,10.0,1.05,1.36
Delhi,Connaught Place,Two-Wheeler ICE,Zomato,Pre-monsoon,5,18,13,12.6,0.3,10.0,1.05,1.34
Mumbai,Kurla,Two-Wheeler EV,Swiggy,Post-monsoon,11,27,11,0.0,3.0,1.8,1.35,1.15
Bengaluru,Bellandur,Two-Wheeler EV,Swiggy,Post-monsoon,10,32,12,0.0,0.24,2.1,1.45,1.16
Bengaluru,Indiranagar,Two-Wheeler ICE,Zomato,Winter,12,35,9,0.0,0.03,2.7,1.1,1.05
Chennai,Adyar,Two-Wheeler ICE,Swiggy,Monsoon,7,18,13,0.4,3.6,0.4,1.4,1.29
Bengaluru,Sarjapur Road,Two-Wheeler ICE,Swiggy,Winter,1,37,10,0.0,0.03,2.7,1.45,1.23
Hyderabad,Madhapur,Two-Wheeler ICE,Swiggy,Monsoon,6,28,6,1.53,0.6,0.15,1.3,1.17
Bengaluru,Koramangala,Two-Wheeler ICE,Swiggy,Pre-monsoon,4,22,10,0.0,0.06,0.6,1.2,1.0
Delhi,ITO,Two-Wheeler ICE,Swiggy,Post-monsoon,10,25,10,1.4,0.6,35.0,1.4,1.49
Chennai,Perungudi,Two-Wheeler ICE,Swiggy,Post-monsoon,11,25,12,0.2,1.0,3.6,1.38,1.15
Mumbai,Andheri,Two-Wheeler ICE,Zomato,Pre-monsoon,5,24,8,0.0,2.4,0.4,1.3,1.13
Bengaluru,Whitefield,Two-Wheeler ICE,Zomato,Post-monsoon,10,24,12,0.0,0.24,2.1,1.4,1.11
Delhi,ITO,Two-Wheeler ICE,Zomato,Pre-monsoon,4,35,13,7.0,0.15,10.0,1.4,1.47
Bengaluru,Bellandur,Two-Wheeler ICE,Both,Post-monsoon,11,34,7,0.0,0.15,2.7,1.45,1.19
Delhi,Azad Market,Two-Wheeler ICE,Zomato,Pre-monsoon,5,33,10,12.6,0.3,10.0,1.35,1.5
Mumbai,Wadala,Two-Wheeler ICE,Zomato,Monsoon,8,40,13,0.0,10.8,0.2,1.25,1.48
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Monsoon,6,26,7,12.6,0.9,5.0,1.05,1.36
Delhi,Azad Market,Two-Wheeler ICE,Zomato,Monsoon,7,44,13,2.8,1.35,5.0,1.35,1.36
Bengaluru,Koramangala,Two-Wheeler ICE,Zomato,Post-monsoon,11,18,10,0.0,0.15,2.7,1.2,1.02
Hyderabad,HITEC City,Two-Wheeler ICE,Zomato,Pre-monsoon,4,14,11,0.85,0.1,0.3,1.25,1.0
Bengaluru,Indiranagar,Two-Wheeler ICE,Both,Monsoon,9,24,8,0.0,0.36,0.6,1.1,1.02
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Swiggy,Post-monsoon,11,32,7,1.4,0.375,45.0,1.5,1.5
Delhi,Connaught Place,Bicycle,Zomato,Pre-monsoon,5,22,9,12.6,0.3,10.0,1.05,1.29
Chennai,Adyar,Two-Wheeler EV,Zomato,Post-monsoon,11,33,9,0.2,1.0,3.6,1.4,1.18
Chennai,Adyar,Two-Wheeler ICE,Swiggy,Pre-monsoon,3,40,12,0.6,0.2,1.6,1.4,1.18
Delhi,Connaught Place,Two-Wheeler ICE,Zomato,Monsoon,6,38,11,12.6,0.9,5.0,1.05,1.41
Chennai,Pallikaranai,Two-Wheeler ICE,Zomato,Monsoon,6,27,7,1.8,2.4,0.4,1.45,1.32
Delhi,ITO,Two-Wheeler ICE,Swiggy,Monsoon,7,29,7,2.8,1.35,5.0,1.4,1.34
Delhi,Azad Market,Two-Wheeler ICE,Swiggy,Monsoon,6,11,9,12.6,0.9,5.0,1.35,1.46
Chennai,Anna Nagar,Two-Wheeler ICE,Zomato,Pre-monsoon,3,35,10,0.6,0.2,1.6,1.05,1.01
Mumbai,Parel,Two-Wheeler EV,Swiggy,Monsoon,9,11,8,0.0,7.2,0.4,1.3,1.28
Mumbai,Kurla,Bicycle,Zomato,Monsoon,7,42,13,0.0,10.8,0.2,1.35,1.48
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Monsoon,7,28,6,2.8,1.35,5.0,1.05,1.16
Mumbai,Wadala,Two-Wheeler EV,Zomato,Post-monsoon,11,21,11,0.0,3.0,1.8,1.25,1.1
Delhi,Lajpat Nagar,Two-Wheeler ICE,Swiggy,Monsoon,9,35,12,1.4,0.9,10.0,1.1,1.24
Chennai,Velachery,Two-Wheeler EV,Swiggy,Monsoon,9,29,7,0.2,2.4,0.8,1.4,1.22
Delhi,Saket,Two-Wheeler ICE,Zomato,Pre-monsoon,3,18,7,4.2,0.075,20.0,1.05,1.28
Bengaluru,Koramangala,Two-Wheeler ICE,Zomato,Post-monsoon,10,13,11,0.0,0.24,2.1,1.2,0.96
Chennai,Sholinganallur,Two-Wheeler ICE,Zomato,Pre-monsoon,5,44,8,1.8,0.8,0.8,1.35,1.21
Bengaluru,Bellandur,Two-Wheeler ICE,Zomato,Pre-monsoon,5,36,7,0.0,0.12,0.6,1.45,1.18
Chennai,Anna Nagar,Two-Wheeler ICE,Both,Pre-monsoon,3,18,7,0.6,0.2,1.6,1.05,0.96
Bengaluru,Koramangala,Two-Wheeler ICE,Zomato,Post-monsoon,11,18,12,0.0,0.15,2.7,1.2,1.02
Chennai,Adyar,Two-Wheeler ICE,Swiggy,Post-monsoon,11,39,9,0.2,1.0,3.6,1.4,1.21
Mumbai,Bandra,Two-Wheeler ICE,Zomato,Monsoon,7,31,13,0.0,10.8,0.2,1.1,1.4
Delhi,Saket,Two-Wheeler EV,Zomato,Monsoon,9,17,6,1.4,0.9,10.0,1.05,1.14
Hyderabad,Falaknuma,Two-Wheeler EV,Swiggy,Winter,2,40,6,0.17,0.05,1.2,1.35,1.14
Hyderabad,HITEC City,Two-Wheeler EV,Swiggy,Post-monsoon,11,20,11,0.17,0.25,1.35,1.25,1.0
Mumbai,Andheri,Two-Wheeler ICE,Swiggy,Post-monsoon,11,24,10,0.0,3.0,1.8,1.3,1.16
Bengaluru,Whitefield,Two-Wheeler ICE,Zomato,Winter,1,43,11,0.0,0.03,2.7,1.4,1.2
Delhi,Azad Market,Two-Wheeler ICE,Swiggy,Pre-monsoon,5,29,8,12.6,0.3,10.0,1.35,1.49
Delhi,Azad Market,Two-Wheeler ICE,Zomato,Pre-monsoon,4,34,13,7.0,0.15,10.0,1.35,1.45
Chennai,Anna Nagar,Two-Wheeler EV,Swiggy,Post-monsoon,11,30,7,0.2,1.0,3.6,1.05,0.96
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Post-monsoon,10,15,10,0.0,4.8,1.4,1.45,1.29
Chennai,Anna Nagar,Two-Wheeler ICE,Zomato,Pre-monsoon,4,43,12,1.0,0.4,0.8,1.05,1.02
Chennai,Perungudi,Two-Wheeler ICE,Zomato,Monsoon,7,30,12,0.4,3.6,0.4,1.38,1.28
Mumbai,Kurla,Two-Wheeler ICE,Zomato,Winter,2,32,6,0.0,0.6,1.6,1.35,1.18
Delhi,Lajpat Nagar,Two-Wheeler EV,Zomato,Post-monsoon,10,20,8,1.4,0.6,35.0,1.1,1.31
Bengaluru,Sarjapur Road,Two-Wheeler ICE,Swiggy,Pre-monsoon,3,42,12,0.0,0.03,1.2,1.45,1.18
Delhi,ITO,Two-Wheeler EV,Swiggy,Pre-monsoon,5,30,6,12.6,0.3,10.0,1.4,1.49
Chennai,Adyar,Two-Wheeler ICE,Zomato,Pre-monsoon,3,18,10,0.6,0.2,1.6,1.4,1.13
Mumbai,Parel,Two-Wheeler ICE,Swiggy,Winter,1,16,11,0.0,0.6,1.8,1.3,1.11
Hyderabad,Charminar,Two-Wheeler ICE,Zomato,Winter,12,18,11,0.17,0.05,1.35,1.35,1.12
Mumbai,Chembur,Two-Wheeler ICE,Zomato,Monsoon,7,27,13,0.0,10.8,0.2,1.45,1.5
Mumbai,Parel,Two-Wheeler EV,Zomato,Post-monsoon,11,17,11,0.0,3.0,1.8,1.3,1.13
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Monsoon,9,22,11,1.4,0.9,10.0,1.05,1.17
Mumbai,Bandra,Two-Wheeler ICE,Zomato,Monsoon,9,22,10,0.0,7.2,0.4,1.1,1.26
Chennai,Perungudi,Two-Wheeler ICE,Zomato,Pre-monsoon,5,43,8,1.8,0.8,0.8,1.38,1.22
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Post-monsoon,11,14,9,1.4,0.375,45.0,1.05,1.26
Delhi,Saket,Two-Wheeler ICE,Zomato,Pre-monsoon,4,35,6,7.0,0.15,10.0,1.05,1.3
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Monsoon,8,43,12,0.0,10.8,0.2,1.45,1.5
Delhi,Azad Market,Two-Wheeler ICE,Swiggy,Monsoon,8,31,9,1.4,1.35,5.0,1.35,1.32
Mumbai,Chembur,Two-Wheeler ICE,Both,Monsoon,8,15,12,0.0,10.8,0.2,1.45,1.5
Chennai,Sholinganallur,Two-Wheeler EV,Zomato,Pre-monsoon,3,23,12,0.6,0.2,1.6,1.35,1.08
Delhi,ITO,Two-Wheeler EV,Swiggy,Post-monsoon,11,42,12,1.4,0.375,45.0,1.4,1.5
Bengaluru,Indiranagar,Two-Wheeler ICE,Zomato,Post-monsoon,11,38,13,0.0,0.15,2.7,1.1,1.02
Delhi,Connaught Place,Two-Wheeler EV,Zomato,Pre-monsoon,4,23,12,7.0,0.15,10.0,1.05,1.22
Mumbai,Wadala,Two-Wheeler EV,Both,Monsoon,8,42,12,0.0,10.8,0.2,1.25,1.45
Chennai,Anna Nagar,Two-Wheeler ICE,Zomato,Pre-monsoon,5,18,12,1.8,0.8,0.8,1.05,1.01
Delhi,Saket,Two-Wheeler ICE,Zomato,Pre-monsoon,5,29,12,12.6,0.3,10.0,1.05,1.34
Chennai,Anna Nagar,Bicycle,Swiggy,Winter,1,20,6,0.2,0.2,3.6,1.05,0.95
Bengaluru,Indiranagar,Two-Wheeler ICE,Both,Winter,1,38,9,0.0,0.03,2.7,1.1,1.05
Bengaluru,Sarjapur Road,Two-Wheeler EV,Zomato,Winter,12,28,11,0.0,0.03,2.7,1.45,1.15
Mumbai,Kurla,Two-Wheeler ICE,Swiggy,Winter,12,42,6,0.0,0.6,1.8,1.35,1.19
Hyderabad,Madhapur,Two-Wheeler ICE,Zomato,Pre-monsoon,3,29,7,0.51,0.05,0.6,1.3,1.06
Mumbai,Bandra,Two-Wheeler ICE,Zomato,Pre-monsoon,4,31,6,0.0,1.2,0.4,1.1,1.04
Hyderabad,Begumpet,Two-Wheeler ICE,Both,Post-monsoon,11,23,10,0.17,0.25,1.35,1.2,1.01
Chennai,Perungudi,Two-Wheeler ICE,Zomato,Winter,2,42,9,0.2,0.2,3.2,1.38,1.21
Chennai,Pallikaranai,Two-Wheeler ICE,Zomato,Post-monsoon,11,42,8,0.2,1.0,3.6,1.45,1.24
Mumbai,Dharavi,Two-Wheeler ICE,Zomato,Monsoon,7,30,6,0.0,10.8,0.2,1.35,1.48
Bengaluru,Koramangala,Two-Wheeler EV,Swiggy,Pre-monsoon,5,33,9,0.0,0.12,0.6,1.2,1.02
Delhi,Saket,Two-Wheeler ICE,Zomato,Monsoon,6,21,13,12.6,0.9,5.0,1.05,1.36
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Winter,1,13,11,1.4,0.075,45.0,1.05,1.29
Bengaluru,Koramangala,Two-Wheeler ICE,Zomato,Pre-monsoon,4,28,12,0.0,0.06,0.6,1.2,1.0
Mumbai,Andheri,Two-Wheeler ICE,Zomato,Winter,1,23,13,0.0,0.6,1.8,1.3,1.11
Mumbai,Chembur,Two-Wheeler EV,Zomato,Post-monsoon,10,35,10,0.0,4.8,1.4,1.45,1.31
Chennai,Sholinganallur,Bicycle,Swiggy,Monsoon,7,23,12,0.4,3.6,0.4,1.35,1.22
Mumbai,Dharavi,Two-Wheeler ICE,Swiggy,Post-monsoon,11,39,12,0.0,3.0,1.8,1.35,1.23
Bengaluru,Sarjapur Road,Two-Wheeler EV,Swiggy,Monsoon,9,43,9,0.0,0.36,0.6,1.45,1.21
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Zomato,Post-monsoon,11,31,6,1.4,0.375,45.0,1.5,1.5
Mumbai,Andheri,Two-Wheeler ICE,Swiggy,Post-monsoon,11,30,12,0.0,3.0,1.8,1.3,1.16
Mumbai,Parel,Two-Wheeler ICE,Zomato,Winter,2,15,6,0.0,0.6,1.6,1.3,1.11
Delhi,Saket,Two-Wheeler ICE,Zomato,Monsoon,6,35,7,12.6,0.9,5.0,1.05,1.41
Mumbai,Dharavi,Two-Wheeler ICE,Swiggy,Winter,2,22,6,0.0,0.6,1.6,1.35,1.13
Mumbai,Chembur,Two-Wheeler ICE,Zomato,Monsoon,9,13,12,0.0,7.2,0.4,1.45,1.38
Bengaluru,Indiranagar,Two-Wheeler ICE,Swiggy,Monsoon,6,30,9,0.0,0.36,0.3,1.1,1.02
Delhi,Lajpat Nagar,Two-Wheeler ICE,Zomato,Post-monsoon,10,20,8,1.4,0.6,35.0,1.1,1.34
Hyderabad,Falaknuma,Two-Wheeler ICE,Swiggy,Monsoon,6,44,8,1.53,0.6,0.15,1.35,1.24
Mumbai,Bandra,Two-Wheeler ICE,Swiggy,Winter,2,13,7,0.0,0.6,1.6,1.1,0.96
Bengaluru,Mahadevapura,Two-Wheeler EV,Swiggy,Post-monsoon,10,31,6,0.0,0.24,2.1,1.5,1.18
Mumbai,Bandra,Two-Wheeler ICE,Swiggy,Pre-monsoon,3,19,8,0.0,0.6,0.8,1.1,0.97
Delhi,Lajpat Nagar,Two-Wheeler ICE,Zomato,Winter,1,27,8,1.4,0.075,45.0,1.1,1.36
Delhi,Lajpat Nagar,Two-Wheeler ICE,Zomato,Monsoon,8,39,7,1.4,1.35,5.0,1.1,1.2
Hyderabad,Charminar,Two-Wheeler ICE,Zomato,Pre-monsoon,5,23,12,1.53,0.2,0.3,1.35,1.12
Hyderabad,Falaknuma,Two-Wheeler EV,Both,Pre-monsoon,3,44,13,0.51,0.05,0.6,1.35,1.11
Mumbai,Andheri,Two-Wheeler ICE,Both,Winter,2,34,6,0.0,0.6,1.6,1.3,1.16
Chennai,Adyar,Two-Wheeler ICE,Swiggy,Post-monsoon,11,23,12,0.2,1.0,3.6,1.4,1.16
Delhi,ITO,Two-Wheeler ICE,Swiggy,Post-monsoon,11,20,11,1.4,0.375,45.0,1.4,1.49
Delhi,Saket,Two-Wheeler ICE,Zomato,Monsoon,8,27,7,1.4,1.35,5.0,1.05,1.12
Mumbai,Parel,Two-Wheeler ICE,Zomato,Winter,1,22,6,0.0,0.6,1.8,1.3,1.11
Bengaluru,Indiranagar,Two-Wheeler EV,Swiggy,Pre-monsoon,5,37,7,0.0,0.12,0.6,1.1,0.97
Mumbai,Bandra,Bicycle,Swiggy,Pre-monsoon,5,25,7,0.0,2.4,0.4,1.1,0.98
Delhi,ITO,Two-Wheeler ICE,Both,Winter,2,35,8,1.4,0.075,40.0,1.4,1.5
Delhi,Lajpat Nagar,Bicycle,Swiggy,Post-monsoon,10,36,6,1.4,0.6,35.0,1.1,1.34
Chennai,Adyar,Two-Wheeler ICE,Both,Winter,2,11,7,0.2,0.2,3.2,1.4,1.12
Mumbai,Andheri,Two-Wheeler ICE,Swiggy,Pre-monsoon,4,16,6,0.0,1.2,0.4,1.3,1.09
Mumbai,Chembur,Two-Wheeler ICE,Swiggy,Winter,12,12,6,0.0,0.6,1.8,1.45,1.14
Delhi,Azad Market,Two-Wheeler ICE,Swiggy,Winter,12,23,10,1.4,0.075,45.0,1.35,1.49
Chennai,Sholinganallur,Two-Wheeler ICE,Zomato,Post-monsoon,10,22,12,0.2,1.6,2.8,1.35,1.15
Chennai,Pallikaranai,Two-Wheeler ICE,Zomato,Post-monsoon,11,42,11,0.2,1.0,3.6,1.45,1.24
Delhi,Saket,Two-Wheeler ICE,Swiggy,Winter,1,29,12,1.4,0.075,45.0,1.05,1.34
Chennai,Anna Nagar,Two-Wheeler EV,Zomato,Monsoon,8,13,8,0.2,3.6,0.4,1.05,1.03
Mumbai,Wadala,Two-Wheeler ICE,Zomato,Pre-monsoon,4,28,13,0.0,1.2,0.4,1.25,1.06
Bengaluru,Bellandur,Two-Wheeler ICE,Swiggy,Post-monsoon,11,11,7,0.0,0.15,2.7,1.45,1.09
Mumbai,Wadala,Two-Wheeler ICE,Zomato,Monsoon,6,29,12,0.0,7.2,0.2,1.25,1.33
Chennai,Perungudi,Two-Wheeler ICE,Zomato,Post-monsoon,11,17,8,0.2,1.0,3.6,1.38,1.15
Bengaluru,Mahadevapura,Two-Wheeler EV,Zomato,Monsoon,8,10,11,0.0,0.54,0.3,1.5,1.14
Bengaluru,Sarjapur Road,Bicycle,Swiggy,Post-monsoon,10,20,12,0.0,0.24,2.1,1.45,1.09
Delhi,Connaught Place,Two-Wheeler ICE,Swiggy,Monsoon,7,25,6,2.8,1.35,5.0,1.05,1.16
Bengaluru,Bellandur,Two-Wheeler EV,Swiggy,Post-monsoon,10,38,13,0.0,0.24,2.1,1.45,1.16
Bengaluru,Koramangala,Two-Wheeler ICE,Both,Pre-monsoon,3,43,6,0.0,0.03,1.2,1.2,1.06
Mumbai,Andheri,Two-Wheeler ICE,Swiggy,Monsoon,9,16,9,0.0,7.2,0.4,1.3,1.36
Mumbai,Wadala,Two-Wheeler EV,Zomato,Winter,12,28,13,0.0,0.6,1.8,1.25,1.06
Bengaluru,Bellandur,Two-Wheeler ICE,Swiggy,Pre-monsoon,5,39,7,0.0,0.12,0.6,1.45,1.18
Bengaluru,Indiranagar,Two-Wheeler EV,Swiggy,Post-monsoon,11,40,11,0.0,0.15,2.7,1.1,0.99
Mumbai,Bandra,Two-Wheeler EV,Swiggy,Post-monsoon,10,26,11,0.0,4.8,1.4,1.1,1.08
Bengaluru,Indiranagar,Two-Wheeler ICE,Zomato,Monsoon,9,32,10,0.0,0.36,0.6,1.1,1.07
Chennai,Velachery,Two-Wheeler ICE,Swiggy,Post-monsoon,11,29,9,0.2,1.0,3.6,1.4,1.16
Delhi,Yamuna Floodplain,Two-Wheeler ICE,Swiggy,Pre-monsoon,5,11,13,12.6,0.3,10.0,1.5,1.5
Delhi,ITO,Two-Wheeler ICE,Swiggy,Winter,12,25,11,1.4,0.075,45.0,1.4,1.5
Bengaluru,Whitefield,Two-Wheeler EV,Zomato,Post-monsoon,11,25,10,0.0,0.15,2.7,1.4,1.09
